image_path,label,handedness,hand_landmark_0_x,hand_landmark_0_y,hand_landmark_0_z,hand_landmark_1_x,hand_landmark_1_y,hand_landmark_1_z,hand_landmark_2_x,hand_landmark_2_y,hand_landmark_2_z,hand_landmark_3_x,hand_landmark_3_y,hand_landmark_3_z,hand_landmark_4_x,hand_landmark_4_y,hand_landmark_4_z,hand_landmark_5_x,hand_landmark_5_y,hand_landmark_5_z,hand_landmark_6_x,hand_landmark_6_y,hand_landmark_6_z,hand_landmark_7_x,hand_landmark_7_y,hand_landmark_7_z,hand_landmark_8_x,hand_landmark_8_y,hand_landmark_8_z,hand_landmark_9_x,hand_landmark_9_y,hand_landmark_9_z,hand_landmark_10_x,hand_landmark_10_y,hand_landmark_10_z,hand_landmark_11_x,hand_landmark_11_y,hand_landmark_11_z,hand_landmark_12_x,hand_landmark_12_y,hand_landmark_12_z,hand_landmark_13_x,hand_landmark_13_y,hand_landmark_13_z,hand_landmark_14_x,hand_landmark_14_y,hand_landmark_14_z,hand_landmark_15_x,hand_landmark_15_y,hand_landmark_15_z,hand_landmark_16_x,hand_landmark_16_y,hand_landmark_16_z,hand_landmark_17_x,hand_landmark_17_y,hand_landmark_17_z,hand_landmark_18_x,hand_landmark_18_y,hand_landmark_18_z,hand_landmark_19_x,hand_landmark_19_y,hand_landmark_19_z,hand_landmark_20_x,hand_landmark_20_y,hand_landmark_20_z,hand_world_landmark_0_x,hand_world_landmark_0_y,hand_world_landmark_0_z,hand_world_landmark_1_x,hand_world_landmark_1_y,hand_world_landmark_1_z,hand_world_landmark_2_x,hand_world_landmark_2_y,hand_world_landmark_2_z,hand_world_landmark_3_x,hand_world_landmark_3_y,hand_world_landmark_3_z,hand_world_landmark_4_x,hand_world_landmark_4_y,hand_world_landmark_4_z,hand_world_landmark_5_x,hand_world_landmark_5_y,hand_world_landmark_5_z,hand_world_landmark_6_x,hand_world_landmark_6_y,hand_world_landmark_6_z,hand_world_landmark_7_x,hand_world_landmark_7_y,hand_world_landmark_7_z,hand_world_landmark_8_x,hand_world_landmark_8_y,hand_world_landmark_8_z,hand_world_landmark_9_x,hand_world_landmark_9_y,hand_world_landmark_9_z,hand_world_landmark_10_x,hand_world_landmark_10_y,hand_world_landmark_10_z,hand_world_landmark_11_x,hand_world_landmark_11_y,hand_world_landmark_11_z,hand_world_landmark_12_x,hand_world_landmark_12_y,hand_world_landmark_12_z,hand_world_landmark_13_x,hand_world_landmark_13_y,hand_world_landmark_13_z,hand_world_landmark_14_x,hand_world_landmark_14_y,hand_world_landmark_14_z,hand_world_landmark_15_x,hand_world_landmark_15_y,hand_world_landmark_15_z,hand_world_landmark_16_x,hand_world_landmark_16_y,hand_world_landmark_16_z,hand_world_landmark_17_x,hand_world_landmark_17_y,hand_world_landmark_17_z,hand_world_landmark_18_x,hand_world_landmark_18_y,hand_world_landmark_18_z,hand_world_landmark_19_x,hand_world_landmark_19_y,hand_world_landmark_19_z,hand_world_landmark_20_x,hand_world_landmark_20_y,hand_world_landmark_20_z
OneDrive/Processed images\DOWN\cropped_Down 9.jpg,DOWN,Right,0.3572854995727539,0.6124014854431152,-8.385674732380721e-08,0.4070511758327484,0.7170677185058594,-0.0162309445440769,0.4607001841068268,0.786167562007904,-0.0287299454212188,0.5071255564689636,0.8536716103553772,-0.0417516641318798,0.5314717888832092,0.9176289439201356,-0.0504933185875415,0.5070085525512695,0.6982035040855408,-0.0119234099984169,0.5545504689216614,0.6780526041984558,-0.0315595157444477,0.5062907338142395,0.6894232630729675,-0.037920169532299,0.4872479438781738,0.6996157765388489,-0.0406121797859668,0.4952593147754669,0.6411672234535217,-0.0143951643258333,0.5408053994178772,0.6115883588790894,-0.0303948204964399,0.4882293939590454,0.6376183032989502,-0.0285945180803537,0.4763617217540741,0.6526327133178711,-0.0276686251163482,0.4780689477920532,0.5817105770111084,-0.0204308424144983,0.522190511226654,0.5521891713142395,-0.0376416258513927,0.4764608740806579,0.5818392634391785,-0.0258716028183698,0.4585947394371032,0.5980139374732971,-0.0171040389686822,0.4617801010608673,0.5208835601806641,-0.0281105171889066,0.4914861619472503,0.4909795224666595,-0.0385348536074161,0.4645805358886719,0.5246254205703735,-0.030690686777234,0.4479424357414245,0.5423096418380737,-0.0238909143954515,-0.0729209780693054,0.0002387762069702,0.0198321603238582,-0.0508127957582473,0.0281284302473068,0.0060723549686372,-0.0248533654958009,0.056886751204729,0.0074086477980017,0.0017681531608104,0.0755561739206314,0.0129644703119993,0.0231450013816356,0.0876174047589302,0.0207834523171186,0.0064310384914278,0.025724284350872,0.0032160840928554,0.019008208066225,0.0204230844974517,-0.0155321070924401,0.0119060957804322,0.0225981846451759,-0.0146361859515309,-0.004660939797759,0.02541483938694,0.007692668121308,0.004160389304161,0.0006207614205777,0.0048051141202449,0.02180802449584,-0.0019200034439563,-0.0241095572710037,0.0020851707085967,0.0050839139148592,-0.0251692775636911,-0.0048732869327068,0.0121094202622771,0.0016788716893643,-0.0027049044147133,-0.0186316352337598,-0.000760638504289,0.012462324462831,-0.0216871444135904,-0.0241547133773565,-0.0041540684178471,-0.0093637723475694,-0.0245968904346227,-0.0163369607180356,-0.0009243194945156,-0.0085715521126985,-0.015418934635818,-0.0377273932099342,-0.0051780370995402,-0.000791722908616,-0.0390906073153018,-0.0199650060385465,-0.0093364864587783,-0.0271228998899459,-0.0290715731680393,-0.0206576324999332,-0.0223508067429065,-0.0195291209965944
OneDrive/Processed images\FRONT\high_contrast_Front 3.jpg,FRONT,Right,0.4608332216739654,0.3808022141456604,1.3901464512855457e-07,0.511333703994751,0.362082839012146,-0.0191380586475133,0.5463212132453918,0.2983169853687286,-0.0239097625017166,0.5564727187156677,0.2223311513662338,-0.0273825414478778,0.5660821199417114,0.1719556897878646,-0.031839407980442,0.5232611298561096,0.1952774971723556,-0.0034456013236194,0.524355947971344,0.1129175126552581,-0.0126293525099754,0.5235791802406311,0.0607019811868667,-0.0235374365001916,0.5223254561424255,0.0131115019321441,-0.0329501740634441,0.4995026886463165,0.1852706968784332,-0.0042576063424348,0.5014744997024536,0.0943413078784942,-0.0113074630498886,0.5046274662017822,0.0355764925479888,-0.0251698885113,0.5052021741867065,-0.0155371725559234,-0.0374449379742145,0.4770592749118805,0.1939327120780944,-0.0082753105089068,0.4770101308822632,0.1061661392450332,-0.0198041722178459,0.4791447520256042,0.0498928278684616,-0.0327070094645023,0.4812119305133819,0.0005974024534225,-0.0422718785703182,0.4509316384792328,0.2141153067350387,-0.0142594901844859,0.4535990953445434,0.1446611285209655,-0.0277227405458688,0.4558128714561462,0.1001742333173751,-0.0362746566534042,0.4595572352409363,0.0559580475091934,-0.0426249019801616,-0.0285555925220251,0.084481656551361,0.0023019926156848,0.0058063399046659,0.0654570087790489,-0.0022889075335115,0.0359801389276981,0.0475465431809425,-0.0125641245394945,0.0489859990775585,0.020533200353384,-0.0211748164147138,0.0554506108164787,-0.0045137330889701,-0.0304942764341831,0.0237171035259962,0.0007963590323925,0.0085603287443518,0.0268102921545505,-0.0220785774290561,0.0037746396847069,0.0302247665822505,-0.0462067648768425,-0.0049063065089285,0.0274888258427381,-0.0650827288627624,-0.0272421240806579,0.0019707707688212,-0.0056120990775525,0.0076863057911396,0.0111266300082206,-0.0352924764156341,0.0040979492478072,0.0138850715011358,-0.063258871436119,-0.0097177447751164,0.0191429667174816,-0.0863526687026023,-0.0329069159924984,-0.0156802106648683,-0.002155187074095,-0.0048715327866375,-0.0096198795363307,-0.0327067673206329,-0.0088502373546361,-0.0055713430047035,-0.0549131482839584,-0.0227228589355945,0.0008415952324867,-0.0786271393299102,-0.0415507443249225,-0.0357515513896942,0.0079150227829813,-0.0162998735904693,-0.0290588624775409,-0.0152627658098936,-0.0161820352077484,-0.0223585106432437,-0.0366793908178806,-0.0205031223595142,-0.0170342475175857,-0.0621277242898941,-0.0275309309363365
OneDrive/Processed images\BACK\brighter_Back 7.jpg,BACK,Right,0.7889102101325989,0.6073364019393921,-9.558566205214448e-08,0.7565904259681702,0.5728849172592163,-0.010713318362832,0.7393911480903625,0.5231939554214478,-0.0178840328007936,0.7379428148269653,0.4671154916286468,-0.022294208407402,0.7387140989303589,0.4253853857517242,-0.0259819533675909,0.7693988084793091,0.4748622179031372,-0.0249062180519104,0.7610235214233398,0.4002259969711303,-0.0325105339288711,0.7585801482200623,0.361184149980545,-0.0340341925621032,0.757911205291748,0.3293163478374481,-0.0345248132944107,0.7935425043106079,0.4680207073688507,-0.021428408101201,0.7807891368865967,0.3859530389308929,-0.0296091083437204,0.7740973830223083,0.3432821631431579,-0.0296998433768749,0.770384669303894,0.3101966381072998,-0.0292239226400852,0.8109821677207947,0.4680897891521454,-0.0176169220358133,0.7989462614059448,0.395293265581131,-0.0251223035156726,0.791735053062439,0.3532754778861999,-0.0252363681793212,0.7862731218338013,0.3186905086040497,-0.024210724979639,0.8231379389762878,0.4751789271831512,-0.0142281400039792,0.8174330592155457,0.418395459651947,-0.018620042130351,0.8121696710586548,0.3873847723007202,-0.018045600503683,0.8073316216468811,0.3600636720657348,-0.0167301502078771,-0.0089357793331146,0.0763970389962196,0.0530772060155868,-0.0348366796970367,0.055652629584074,0.035964835435152,-0.0411803908646106,0.03017108887434,0.0301016326993703,-0.0430462732911109,0.0007994230836629,0.0191604103893041,-0.0401647202670574,-0.0235178265720605,0.0128309587016701,-0.0229548420757055,0.0009408304467797,-0.0080332802608609,-0.0240327958017587,-0.0298190005123615,-0.0120904268696904,-0.025863004848361,-0.0506077706813812,0.0012058020802214,-0.0312819555401802,-0.0702578350901603,0.0164178386330604,-0.0026735458523035,-0.0007135075866244,-0.0040343482978641,-0.0032968986779451,-0.0398300662636756,-0.0016754106618463,-0.0123557653278112,-0.0628003031015396,0.0085075823590159,-0.0157972052693367,-0.0876429006457328,0.0281214267015457,0.0147625925019383,-0.0031649284064769,0.0039814026094973,0.011556314304471,-0.0301853884011507,0.0089892353862524,0.0051179807633161,-0.0531861782073974,0.0210665836930274,-0.0004324503242969,-0.0761205404996872,0.0368876755237579,0.0218308996409177,0.0045672766864299,0.0214330721646547,0.0241374187171459,-0.0174575187265872,0.0253072865307331,0.0226274151355028,-0.0370844788849353,0.0340078026056289,0.0172840058803558,-0.0539882034063339,0.0404752232134342
OneDrive/Processed images\UP\scaled_Up 15.jpg,UP,Right,0.6015217900276184,0.6962822675704956,-2.458336041399889e-07,0.6059354543685913,0.6434058547019958,-0.0090719358995556,0.6205554604530334,0.6072075963020325,-0.0157982669770717,0.6343430876731873,0.5786557197570801,-0.0208985619246959,0.6435315012931824,0.5511702299118042,-0.0252586416900157,0.660157322883606,0.6480130553245544,-0.0131541043519973,0.6489056944847107,0.647605299949646,-0.0150521527975797,0.6375855207443237,0.6504133939743042,-0.0171712189912796,0.6306028366088867,0.6523059010505676,-0.0197807047516107,0.6627863049507141,0.6835017800331116,-0.0120861139148473,0.6467199325561523,0.6776939630508423,-0.0119728781282901,0.6359960436820984,0.6786448359489441,-0.0141104767099022,0.6290408372879028,0.6806471943855286,-0.0178534109145402,0.6583232879638672,0.7152373194694519,-0.010706809349358,0.6433462500572205,0.7046564221382141,-0.0108196204528212,0.6342616081237793,0.7045088410377502,-0.0107882637530565,0.6268737316131592,0.7046679258346558,-0.0128620248287916,0.6502020359039307,0.7413448095321655,-0.0102763148024678,0.6398448348045349,0.7331026196479797,-0.0122231347486376,0.6312455534934998,0.7299106121063232,-0.0113776382058858,0.6238914132118225,0.7274481654167175,-0.0108660589903593,-0.046635415405035,0.0024104653857648,-0.0288765020668506,-0.0383087694644928,-0.0163373462855815,-0.0264132246375083,-0.0355498492717742,-0.0373867414891719,-0.0154998833313584,-0.0280470103025436,-0.0581816844642162,0.0013038744218647,-0.0075763869099318,-0.0822684690356254,0.0184594225138425,-0.0019731179345399,-0.0175692327320575,0.0015424514422193,-0.0133671388030052,-0.0187880545854568,0.0170274227857589,-0.0201660450547933,-0.0188572164624929,0.02124834805727,-0.0283986926078796,-0.0205321218818426,0.0166244376450777,0.0009821035200729,-0.0029604535084217,0.004494646564126,-0.0074798655696213,-0.0064107319340109,0.0175665896385908,-0.0256818421185016,-0.0080269370228052,0.013462234288454,-0.0212017931044101,-0.0018744650296866,0.0177425108850002,0.0041794665157794,0.0102110989391803,-0.0015634723240509,-0.0162381995469331,0.003742242231965,0.0144737064838409,-0.0259358044713735,0.0052817920222878,0.0156853348016738,-0.0269031338393688,0.0101741207763552,0.0115771172568202,-0.0074197193607687,0.0196031406521797,-0.0057620010338723,-0.0198954753577709,0.020432012155652,0.0046389824710786,-0.0257729981094598,0.0186771098524332,0.0083291912451386,-0.0362432673573493,0.0187197960913181,0.0076673743315041
OneDrive/Processed images\BACK\high_contrast_Back 3.jpg,BACK,Right,0.473745584487915,0.5146396160125732,-5.74248737450489e-08,0.4313676655292511,0.4560967087745666,-0.0030686147511005,0.4155559837818146,0.3797248899936676,-0.0068638967350125,0.420533686876297,0.3026740550994873,-0.0103484652936458,0.4167874455451965,0.2472490966320037,-0.0145840421319007,0.4537128210067749,0.3160086274147033,-0.0166770033538341,0.4669718146324157,0.216285303235054,-0.0258871465921401,0.4756438732147217,0.1606210321187973,-0.0299943145364522,0.483280599117279,0.118850901722908,-0.0323134139180183,0.4844693541526794,0.3234314918518066,-0.019333966076374,0.49530890583992,0.2074834406375885,-0.0278458856046199,0.5020204186439514,0.1434086561203003,-0.0315902233123779,0.5087841153144836,0.0965224504470825,-0.0339164473116397,0.5111141800880432,0.3419111371040344,-0.0216435324400663,0.5197662115097046,0.2331903874874115,-0.0295400843024253,0.5248289108276367,0.1684831082820892,-0.0345443114638328,0.528162956237793,0.1194997280836105,-0.0373108498752117,0.5342523455619812,0.3683441579341888,-0.0236534737050533,0.5400649905204773,0.2827951908111572,-0.0291628334671258,0.5415714979171753,0.234301209449768,-0.0315627455711364,0.5426172018051147,0.1934539228677749,-0.0324322171509265,-0.0267926082015037,0.0862031653523445,0.04280636459589,-0.0471609570086002,0.0531267374753952,0.0292926095426082,-0.0495521500706672,0.0243177004158496,0.031218022108078,-0.0474361628293991,-0.0079809855669736,0.0265138354152441,-0.0437194630503654,-0.0340991243720054,0.0224445071071386,-0.028003241866827,-0.0091248387470841,-0.0041478923521935,-0.0154545698314905,-0.0385989025235176,-0.0087421471253037,-0.0088987182825803,-0.0624526515603065,0.0020006953272968,-0.0087185613811016,-0.0802408903837204,0.015007865615189,-0.003397203516215,-0.0034284980501979,-0.0014195312978699,0.0099052395671606,-0.0437979772686958,-0.002467495156452,0.0085123311728239,-0.0709587484598159,0.0037131016142666,0.015035156160593,-0.0954632088541984,0.0240969024598598,0.0189731568098068,0.0035824724473059,0.0010759502183645,0.0264481827616691,-0.0317288488149642,0.005798237863928,0.0298847965896129,-0.0559576638042926,0.0118834758177399,0.0277032759040594,-0.0803680419921875,0.0256173815578222,0.0274785831570625,0.0159017406404018,0.0158162079751491,0.0365862995386123,-0.0084252096712589,0.0177255310118198,0.0425658002495765,-0.0319171436131,0.0209836494177579,0.0385842621326446,-0.0509206987917423,0.0275963842868804
OneDrive/Processed images\LEFT\high_contrast_Left 1.jpg,LEFT,Right,0.3707964122295379,0.5975471138954163,-3.627900468927692e-07,0.4574758410453796,0.608371376991272,-0.0219133365899324,0.5360795855522156,0.5707547068595886,-0.0383435487747192,0.5956680774688721,0.5427994132041931,-0.0526211746037006,0.6461120843887329,0.5439368486404419,-0.0616196505725383,0.5231496691703796,0.3851765394210815,-0.0424943901598453,0.5319874882698059,0.4524773955345154,-0.0684198066592216,0.502032995223999,0.5236560702323914,-0.0781642645597457,0.4855589568614959,0.5225993990898132,-0.084030658006668,0.4861321747303009,0.3559103608131408,-0.0452741980552673,0.4923457205295563,0.4544498920440674,-0.0709697604179382,0.4685238599777221,0.5292486548423767,-0.0761897936463356,0.4582984745502472,0.517890989780426,-0.0814789086580276,0.4458587765693664,0.3569802343845367,-0.0496754832565784,0.4540532529354095,0.4486962556838989,-0.0766472443938255,0.4377374947071075,0.5172924995422363,-0.0725857093930244,0.4292538464069366,0.5036951899528503,-0.069332480430603,0.4068147540092468,0.369217574596405,-0.0556555390357971,0.4135063886642456,0.4456924200057983,-0.0736214518547058,0.407731145620346,0.4926468729972839,-0.0711720287799835,0.4005964994430542,0.4782655537128448,-0.0685734376311302,-0.0477945245802402,0.0504164062440395,0.0627138689160347,-0.0140516888350248,0.0541417077183723,0.0430774688720703,0.0204809457063674,0.0535794869065284,0.0348974391818046,0.04999241232872,0.0480275824666023,0.0222932063043117,0.0759268850088119,0.0424509719014167,0.0161542519927024,0.022816315293312,0.0038906806148588,0.0084947906434535,0.0194044709205627,0.0220878422260284,-0.0134829552844166,0.0149006657302379,0.0330157317221164,-0.0013402239419519,0.0004206215962767,0.0372993238270282,0.0237139631062746,0.0037342084106057,-0.0058628190308809,0.0033234122674912,0.0056223608553409,0.0120162330567836,-0.0250133611261844,-0.0025247000157833,0.0377155654132366,-0.0132440337911248,-0.0067874500527977,0.0352418683469295,0.0215933267027139,-0.013053810223937,-0.0060323858633637,-0.0053056953474879,-0.011602384969592,0.0143664684146642,-0.024998091161251,-0.0179573334753513,0.0372314527630806,-0.0108647178858518,-0.0230278819799423,0.0346535108983516,0.0152215063571929,-0.0372716039419174,0.0005638636648654,-0.0083209071308374,-0.031344536691904,0.0123848589137196,-0.0202124137431383,-0.0307364780455827,0.0304717868566513,-0.0151861505582928,-0.0369679294526577,0.0264336839318275,0.0007758913561701
OneDrive/Processed images\RIGHT\rotated_Right 14.jpg,RIGHT,Right,0.5809928774833679,0.519767165184021,-2.289161216140201e-07,0.5531845092773438,0.5154634118080139,-0.0080413678660988,0.5269030332565308,0.4949375987052917,-0.0116664888337254,0.5066618323326111,0.4838027656078338,-0.013471626676619,0.4897142648696899,0.4821225702762604,-0.0146425114944577,0.5406491756439209,0.4244590997695923,-0.0084775798022747,0.5395733118057251,0.4477446675300598,-0.0085196187719702,0.5431116819381714,0.4666362106800079,-0.0107228970155119,0.5457947850227356,0.4773388504981994,-0.0134088657796382,0.5584864616394043,0.416024774312973,-0.0062399464659392,0.5565590858459473,0.4383581280708313,-0.0034498379100114,0.5579097867012024,0.4548110663890838,-0.0051750005222857,0.5600851774215698,0.4647881090641022,-0.0090720644220709,0.5759614109992981,0.4200988709926605,-0.0036330628208816,0.5722955465316772,0.4351279437541961,-0.0022725202143192,0.5716568231582642,0.446869820356369,-0.0027887541800737,0.572934091091156,0.4565374851226806,-0.0051868893206119,0.5911574363708496,0.4297814965248108,-0.0015002286527305,0.5870877504348755,0.4391172230243683,-0.0012165002990514,0.584593653678894,0.4523879289627075,0.000632326293271,0.5843107104301453,0.4621393978595733,0.0014482022961601,0.008393520489335,0.0536656603217124,-0.0528870597481727,-0.014138052240014,0.0499146990478038,-0.0438601933419704,-0.0342733189463615,0.045878704637289,-0.0284807253628969,-0.0540889203548431,0.0428325459361076,-0.0063766208477318,-0.0830893516540527,0.0358124673366546,0.0144592905417084,-0.0224782619625329,0.0112299108877778,-0.0006405354361049,-0.0171613339334726,0.0165862943977117,0.0219099074602127,-0.0156494472175836,0.0228279139846563,0.030279392376542,-0.0129262702539563,0.030235331505537,0.0222044494003057,-0.0034045132342725,0.0007877825992181,0.0041759358718991,0.0016261066775768,-0.0013925508828833,0.0267205070704221,0.0015769973397254,0.014208891429007,0.0253676362335681,0.0006247870624065,0.0141521571204066,0.0177915394306182,0.0127905718982219,-0.0090744066983461,0.0007734970422461,0.0197783764451742,-0.0016693184152245,0.0232354756444692,0.0187939535826444,0.0072376262396574,0.0218931064009666,0.0186049845069646,0.0082493470981717,0.0192183721810579,0.0306031815707683,-0.0021881172433495,-0.0019387205829843,0.033206358551979,0.001405157148838,0.0132543230429291,0.0270888581871986,0.0098282899707555,0.0193492732942104,0.0293285101652145,0.0182005912065505,0.0166297107934951
OneDrive/Processed images\LEFT\high_contrast_Left 11.jpg,LEFT,Right,0.4560557305812835,0.4105047285556793,3.783785729183364e-08,0.4850322008132934,0.4199923872947693,-0.0096812918782234,0.5182389616966248,0.405472069978714,-0.0139997024089097,0.5433731079101562,0.3935515582561493,-0.0176365040242671,0.5623694658279419,0.391462117433548,-0.0195315554738044,0.5122538805007935,0.3479331731796264,-0.0071114329621195,0.521674633026123,0.3046552538871765,-0.0171997137367725,0.5121018290519714,0.3352127373218536,-0.0217656157910823,0.5065000653266907,0.35748952627182,-0.0234508756548166,0.4954843819141388,0.3360794186592102,-0.0072767250239849,0.501706600189209,0.2993233203887939,-0.0168705321848392,0.4943507313728332,0.3392669856548309,-0.0191072952002286,0.4906383156776428,0.3587192296981811,-0.0197655018419027,0.4771230518817901,0.3290475904941559,-0.0092362975701689,0.4831122457981109,0.2971544861793518,-0.0192348826676607,0.4781771898269653,0.3352376222610473,-0.0169748701155185,0.4755710363388061,0.3547177910804748,-0.0141698373481631,0.4587969481945038,0.3280855119228363,-0.0119250481948256,0.462457925081253,0.3067415654659271,-0.0175865031778812,0.4603772759437561,0.3316981196403503,-0.0146906087175011,0.4577967822551727,0.3459319174289703,-0.0117954453453421,-0.043527103960514,0.0474297031760215,0.0230382848531007,-0.0051725376397371,0.0510969310998916,0.0030255480669438,0.0310477521270513,0.0503717325627803,0.0048002423718571,0.0650798082351684,0.0451374426484108,0.0088551361113786,0.0904100313782692,0.0353234633803367,0.0121089247986674,0.0263797901570796,0.0087126735597848,0.0011963809374719,0.0276429001241922,-0.0051195723935961,-0.0190121196210384,0.0249034184962511,0.0040436726994812,-0.0219984352588653,0.0163819976150989,0.0223380774259567,-0.0045313364826142,0.0032166319433599,-0.0030923471786081,0.0054739061743021,0.0138278361409902,-0.0172150284051895,-0.0249013844877481,0.0051068286411464,0.0003122192574664,-0.0335906781256198,0.0055549764074385,0.0136481001973152,-0.0121150286868214,-0.0147355580702424,-0.0079214312136173,-0.0003005880280397,-0.0097461901605129,-0.0212592966854572,-0.0248282477259635,-0.0087632164359092,-0.0017664923798292,-0.0299943797290325,-0.010369031690061,0.0143633056432008,-0.0191749259829521,-0.0389023944735527,-0.009392044506967,-0.0022399760782718,-0.0313577204942703,-0.0205543991178274,-0.0167787764221429,-0.0289277508854866,-0.0064421398565173,-0.0236208960413932,-0.0355724953114986,0.0028057559393346,-0.017191395163536
OneDrive/Processed images\RIGHT\brighter_Right 14.jpg,RIGHT,Right,0.5737173557281494,0.5540288686752319,-2.1365478630741566e-07,0.54770827293396,0.5393717288970947,-0.0104107819497585,0.5263715982437134,0.5096603035926819,-0.0162829421460628,0.5082637667655945,0.4905371367931366,-0.0198973175138235,0.4922960698604584,0.4788127243518829,-0.0226582679897546,0.5506231188774109,0.4464170932769775,-0.013933427631855,0.5456724762916565,0.4670168459415436,-0.0149750877171754,0.5470471382141113,0.4859608709812164,-0.0166117269545793,0.5487552881240845,0.4981852769851684,-0.0189308822154998,0.5695937275886536,0.4460671246051788,-0.011279541067779,0.5640813708305359,0.4662362039089203,-0.0106101669371128,0.563762366771698,0.4824441373348236,-0.0124772582203149,0.5649051666259766,0.4936843812465668,-0.0162461586296558,0.5857786536216736,0.4579298794269562,-0.0081851771101355,0.5791730284690857,0.4715560972690582,-0.0085677169263362,0.5773676633834839,0.482909232378006,-0.0086907027289271,0.5772512555122375,0.4939831793308258,-0.0106390854343771,0.5987134575843811,0.4746573567390442,-0.0057711065746843,0.593078076839447,0.4821008443832397,-0.0071036787703633,0.5895380973815918,0.4931709468364715,-0.0055562634952366,0.5881891250610352,0.5026162266731262,-0.0047934181056916,-0.0063830325379967,0.0468547195196151,-0.0572068840265274,-0.0263841450214386,0.0381845459342002,-0.0458746291697025,-0.0446157269179821,0.0307009741663932,-0.0339351035654544,-0.0629870742559433,0.0274008251726627,-0.0113580022007226,-0.089384064078331,0.0104011548683047,0.0076435678638517,-0.0206927191466093,0.003811469534412,-0.0002953925868496,-0.0189292952418327,0.0109170600771904,0.0233052372932434,-0.0177390668541193,0.0173394307494163,0.0290633961558341,-0.017678540199995,0.0248367451131343,0.019889822229743,-0.0029321250040084,0.0004457038885448,0.0047682072035968,0.0034495645668357,0.0012737798970192,0.0245676357299089,-0.0007874616421759,0.016972916200757,0.0200409460812807,0.0004604512359946,0.0146788097918033,0.0125912660732865,0.013480881229043,-0.0056947274133563,0.0002080892445519,0.0173615887761116,0.0071119829080998,0.0214417055249214,0.0129667613655328,0.0150107536464929,0.0174127984791994,0.0143792983144521,0.0161081943660974,0.0143437385559082,0.0251671560108661,0.005014550872147,-0.0036075976677238,0.0287713520228862,0.0132526345551013,0.0108064785599708,0.0219175145030021,0.0190148837864398,0.0138344410806894,0.0229003466665744,0.0292111951857805,0.0089524229988455
OneDrive/Processed images\DOWN\rotated_Down 11.jpg,DOWN,Right,0.3271366059780121,0.6467594504356384,-1.172927639458976e-07,0.346756637096405,0.6831023693084717,-0.0116503555327653,0.3801606893539428,0.7112142443656921,-0.0168553832918405,0.4037401080131531,0.7387019395828247,-0.0215763207525014,0.414708137512207,0.7680231332778931,-0.0233095064759254,0.4052996039390564,0.657555341720581,-0.0057210871018469,0.4216432273387909,0.6601828336715698,-0.0169487483799457,0.3985461294651031,0.668487012386322,-0.0205642376095056,0.3956532180309295,0.665076494216919,-0.0222361478954553,0.4007233381271362,0.6254269480705261,-0.0058029969222843,0.4144953191280365,0.6288393139839172,-0.0167015604674816,0.3875026702880859,0.6448814272880554,-0.0160845220088958,0.3898593783378601,0.6384422779083252,-0.0140511896461248,0.3913492560386657,0.5955113172531128,-0.0083826892077922,0.4086369276046753,0.5958349108695984,-0.0210116896778345,0.3841780126094818,0.6172766089439392,-0.0138128586113452,0.3825657069683075,0.6129016876220703,-0.0068420204333961,0.3797248899936676,0.5669832229614258,-0.0119921080768108,0.3912910521030426,0.569783091545105,-0.0192192923277616,0.377202033996582,0.5901053547859192,-0.0130479047074913,0.3735928833484649,0.5893034338951111,-0.0070076342672109,-0.0830057933926582,0.0094258058816194,0.0019906125962734,-0.0557985566556453,0.0362108349800109,-0.0073240301571786,-0.0261021237820386,0.0590115152299404,-0.0023367311805486,0.005411559715867,0.0788810849189758,0.0099769234657287,0.026828221976757,0.0922333523631095,0.0257739797234535,0.0106639247387647,0.0259680207818746,0.0077212415635585,0.0180189404636621,0.0303379818797111,-0.0206293147057294,0.0046583600342273,0.0326890908181667,-0.024110771715641,-0.0041664084419608,0.0301795322448015,-0.0051597682759165,0.0051378072239458,1.851114211603999e-05,0.0073263333179056,0.017019061371684,0.0069117145612835,-0.0312660634517669,-0.0078783752396702,0.0174587480723857,-0.0382345244288444,-0.0056448471732437,0.012228449806571,-0.0079136742278933,-0.0042656399309635,-0.0188026521354913,-0.0036789453588426,0.0053444723598659,-0.012272534891963,-0.0361088141798973,-0.0125976325944066,0.0012914668768644,-0.0415826961398124,-0.0187594629824161,-0.0018388538155704,-0.0195843074470758,-0.0248304903507232,-0.0353752747178077,-0.0149507746100425,-0.0118047688156366,-0.0312890596687793,-0.0322250500321388,-0.0204829629510641,-0.0170301627367734,-0.0461168214678764,-0.0320859961211681,-0.0179627388715744,-0.0344862006604671
